2024-07-02 09:17:32.686 | WARNING  | common.read_exce_yaml_caes:get_excle_all_caes:43 - 这个文件【D:\wf\rxx\./data/env_test/case_excle/~$case_data.xlsx】无法读取,原因:“[Errno 13] Permission denied: 'D:\\wf\\rxx\\./data/env_test/case_excle/~$case_data.xlsx'”,关闭excle再试试…… 
2024-07-02 09:17:33.416 | WARNING  | conftest:env_url:23 - 执行环境为：【test】 http://139.129.193.4:9982/api
2024-07-02 09:17:33.424 | INFO     | conftest:start_end:28 - ===============================================================================================华丽的分割线【开始】===============================================================================================
2024-07-02 09:17:33.442 | INFO     | common.condition:skip_if:25 - 
2024-07-02 09:17:33.456 | INFO     | common.api_request:api_request:130 - 接口地址：http://139.129.193.4:9982/api/blade-auth/oauth/token
2024-07-02 09:17:33.459 | INFO     | common.api_request:api_request:131 - 请求头：{'Tenant-Id': '000000', 'Authorization': 'Basic c2FiZXI6c2FiZXJfc2VjcmV0', 'Captcha-Key': '${key}'}
2024-07-02 09:17:33.464 | INFO     | common.api_request:api_request:132 - 请求方法：post
2024-07-02 09:17:33.469 | INFO     | common.api_request:api_request:133 - 参数类型：params
2024-07-02 09:17:33.473 | INFO     | common.api_request:api_request:134 - 请求参数：{'tenantId': '000000', 'username': 'admin', 'password': 'ZVleqStFHFSBho8CScHEcNcoRHkJsk4A8h4n7pspvuqH7K92YVa/g+CAGuyBY5lx0z1/oz3Gtk6xgW7G6TY8GZnGlAZcJWdMqRmSfrh6zHAU7jEu6wgEOi6fso3i2BHFhqV7yWD9wJOVoRQi0OIL7oli+vt9pOVVjcM6ElWZhHALrUi+BFRIjK4ZuANhhcMWVcCffLiMnF2X/bz0H6ia90KfDpsYXDFUNEC9ZHBh0CX4mmhOunnL0KbR6/VTbSAZ9z3zVGIT2gWd+B8zFoKFJCSQQbZTkQW/gASYJwXLJ5/XDbcSrwjPIyUPVZNYnHrUa9LAR4qOKJP7XJvi9ownQQ==', 'grant_type': 'password', 'scope': 'all', 'type': 'account', 'systemFlag': 'main'}
2024-07-02 09:17:33.478 | INFO     | common.api_request:api_request:135 - 上传文件：{}
2024-07-02 09:17:33.625 | INFO     | common.api_request:api_request:149 - 返回响应：{'code': 200, 'success': True, 'data': {'access_token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0ZW5hbnRfaWQiOiIwMDAwMDAiLCJ1c2VyX25hbWUiOiJhZG1pbiIsInJlYWxfbmFtZSI6IueuoeeQhuWRmCIsImF2YXRhciI6Ii9PU1NfUFJFL2JsYWRleC91cGxvYWQvMjAyMzEwMTgvYmQ1ZTY4MzhjMzMyZjhlNTUxNmY2MzdkNjgwNWY4OTgucG5nIiwiYXV0aG9yaXRpZXMiOlsiYWRtaW5pc3RyYXRvciJdLCJjbGllbnRfaWQiOiJzYWJlciIsInJvbGVfbmFtZSI6ImFkbWluaXN0cmF0b3IiLCJsaWNlbnNlIjoicG93ZXJlZCBieSBibGFkZXgiLCJyZWdpb25Db2RlIjoiMzcwMiIsInBvc3RfaWQiOiIxMTIzNTk4ODE3NzM4Njc1MjAxIiwidXNlcl9pZCI6IjExMjM1OTg4MjE3Mzg2NzUyMDEiLCJyb2xlX2lkIjoiMTEyMzU5ODgxNjczODY3NTIwMSwxNzUwNzA3OTY3MzcyMTExODczIiwicGhvbmUiOiIxNTUyMjMzNDQ1NSIsInNjb3BlIjpbImFsbCJdLCJuaWNrX25hbWUiOiLnrqHnkIblkZgt55So5oi35ZCNIiwib2F1dGhfaWQiOiIiLCJkZXRhaWwiOnsidHlwZSI6IndlYiIsImV4dCI6IntcIm9wZW5JZFwiOlwib2tUVjM2eFZLejFvRmhOc2Z4MXJheW9uaktJY1wiLFwiYXJlYUNvZGVcIjpcIjM3MDJcIn0ifSwiZXhwIjoxNzIwMjQzMDU0LCJkZXB0X2lkIjoiMTEyMzU5ODgxMzczODY3NTIwMSIsImp0aSI6ImZlYzMyZjkxLWU4ZTEtNGQxYS1hYzBkLTFmYzI1M2I0ZmY5ZiIsImFjY291bnQiOiJhZG1pbiJ9.1aujPG9IpBp-gzMOvqSKm-EZ8-svRMx1dsSFW61jdis', 'refresh_token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0ZW5hbnRfaWQiOiIwMDAwMDAiLCJ1c2VyX25hbWUiOiJhZG1pbiIsInJlYWxfbmFtZSI6IueuoeeQhuWRmCIsImF2YXRhciI6Ii9PU1NfUFJFL2JsYWRleC91cGxvYWQvMjAyMzEwMTgvYmQ1ZTY4MzhjMzMyZjhlNTUxNmY2MzdkNjgwNWY4OTgucG5nIiwiYXV0aG9yaXRpZXMiOlsiYWRtaW5pc3RyYXRvciJdLCJjbGllbnRfaWQiOiJzYWJlciIsInJvbGVfbmFtZSI6ImFkbWluaXN0cmF0b3IiLCJsaWNlbnNlIjoicG93ZXJlZCBieSBibGFkZXgiLCJyZWdpb25Db2RlIjoiMzcwMiIsInBvc3RfaWQiOiIxMTIzNTk4ODE3NzM4Njc1MjAxIiwidXNlcl9pZCI6IjExMjM1OTg4MjE3Mzg2NzUyMDEiLCJyb2xlX2lkIjoiMTEyMzU5ODgxNjczODY3NTIwMSwxNzUwNzA3OTY3MzcyMTExODczIiwicGhvbmUiOiIxNTUyMjMzNDQ1NSIsInNjb3BlIjpbImFsbCJdLCJuaWNrX25hbWUiOiLnrqHnkIblkZgt55So5oi35ZCNIiwiYXRpIjoiZmVjMzJmOTEtZThlMS00ZDFhLWFjMGQtMWZjMjUzYjRmZjlmIiwib2F1dGhfaWQiOiIiLCJkZXRhaWwiOnsidHlwZSI6IndlYiIsImV4dCI6IntcIm9wZW5JZFwiOlwib2tUVjM2eFZLejFvRmhOc2Z4MXJheW9uaktJY1wiLFwiYXJlYUNvZGVcIjpcIjM3MDJcIn0ifSwiZXhwIjoxNzIwNDg3ODU0LCJkZXB0X2lkIjoiMTEyMzU5ODgxMzczODY3NTIwMSIsImp0aSI6IjQyNDljYzJiLTQ2OTMtNDE0NS05OTIxLTExNTMyOWEzOTU0ZiIsImFjY291bnQiOiJhZG1pbiJ9.Gm0ZkLRNl1sw5Fbaqyc1l1OIpbxU2gkm1OV_NaFuv9I', 'token_type': 'bearer', 'expires_in': 359999, 'scope': 'all', 'tenant_id': '000000', 'user_name': 'admin', 'real_name': '管理员', 'avatar': '/OSS_PRE/bladex/upload/20231018/bd5e6838c332f8e5516f637d6805f898.png', 'client_id': 'saber', 'role_name': 'administrator', 'license': 'powered by bladex', 'regionCode': '3702', 'post_id': '1123598817738675201', 'user_id': '1123598821738675201', 'role_id': '1123598816738675201,1750707967372111873', 'phone': '15522334455', 'nick_name': '管理员-用户名', 'oauth_id': '', 'detail': {'type': 'web', 'ext': '{"openId":"okTV36xVKz1oFhNsfx1rayonjKIc","areaCode":"3702"}'}, 'dept_id': '1123598813738675201', 'account': 'admin', 'jti': 'fec32f91-e8e1-4d1a-ac0d-1fc253b4ff9f'}, 'msg': '操作成功'}
