2024-07-05 15:00:21.030 | WARNING  | common.read_exce_yaml_caes:get_excle_all_caes:43 - 这个文件【D:\rxx\./data/env_test/case_excle/~$case_data.xlsx】无法读取,原因:“[Errno 13] Permission denied: 'D:\\rxx\\./data/env_test/case_excle/~$case_data.xlsx'”,关闭excle再试试…… 
2024-07-05 15:00:21.168 | WARNING  | conftest:env_url:23 - 执行环境为：【test】 http://portal-test.haierschool.cn/
2024-07-05 15:00:21.169 | INFO     | conftest:start_end:28 - ===============================================================================================华丽的分割线【开始】===============================================================================================
2024-07-05 15:00:21.173 | INFO     | common.condition:skip_if:25 - 
2024-07-05 15:00:21.175 | INFO     | common.api_request:api_request:130 - 接口地址：http://portal-test.haierschool.cn/v/login
2024-07-05 15:00:21.176 | INFO     | common.api_request:api_request:131 - 请求头：{}
2024-07-05 15:00:21.176 | INFO     | common.api_request:api_request:132 - 请求方法：post
2024-07-05 15:00:21.177 | INFO     | common.api_request:api_request:133 - 参数类型：json
2024-07-05 15:00:21.177 | INFO     | common.api_request:api_request:134 - 请求参数：{'username': '22058381', 'password': 'Rxx7758521', 'sysType': '2'}
2024-07-05 15:00:21.177 | INFO     | common.api_request:api_request:135 - 上传文件：{}
2024-07-05 15:00:21.559 | INFO     | common.api_request:api_request:149 - 返回响应：{'msg': '操作成功', 'code': 200, 'mustUpdatePwd': False, 'userId': 3289, 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6Ijg1YWY2OGQ0LWU0MzktNDBhYy05Mzg4LTZjZWMwNzRhYTMwYiJ9.rxliLv_6jRbJNPLpJ41dEarW90sMwF1TS3Q6rfxPcDMd-IpDY7eUaWj6DF8mmAJY9W0PyNa8jno6upFyXxldnA'}
2024-07-05 15:00:21.561 | INFO     | common.assert_api:assert_api:19 - {'msg': '操作成功', 'code': 200, 'mustUpdatePwd': False, 'userId': 3289, 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6Ijg1YWY2OGQ0LWU0MzktNDBhYy05Mzg4LTZjZWMwNzRhYTMwYiJ9.rxliLv_6jRbJNPLpJ41dEarW90sMwF1TS3Q6rfxPcDMd-IpDY7eUaWj6DF8mmAJY9W0PyNa8jno6upFyXxldnA'}
2024-07-05 15:00:21.566 | INFO     | common.assert_api:assert_api:26 - 提取参数路径：{"token": "$.token"}
2024-07-05 15:00:21.566 | INFO     | common.assert_api:assert_api:27 - 参数池：{'token': 'eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6Ijg1YWY2OGQ0LWU0MzktNDBhYy05Mzg4LTZjZWMwNzRhYTMwYiJ9.rxliLv_6jRbJNPLpJ41dEarW90sMwF1TS3Q6rfxPcDMd-IpDY7eUaWj6DF8mmAJY9W0PyNa8jno6upFyXxldnA', 'username': 'admin', 'password': 'leyaun@2024', 'url': 'http://portal-test.haierschool.cn/', 'env': 'test'}
2024-07-05 15:00:21.567 | INFO     | common.assert_api:assert_api:28 - 断言内容：[[200,"==","$.code","int"]]
2024-07-05 15:00:21.567 | INFO     | common.assert_api:assert_api:36 - 变量引用后的断言内容：[[200, '==', '$.code', 'int']]
2024-07-05 15:00:21.568 | INFO     | common.assert_api:assert_api:63 - asser_results = 200 == 200
2024-07-05 15:00:21.568 | INFO     | common.assert_api:assert_api:82 - [200, '==', '$.code', 'int']
2024-07-05 15:00:21.569 | INFO     | common.assert_api:assert_api:100 - {'msg': '操作成功', 'code': 200, 'mustUpdatePwd': False, 'userId': 3289, 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6Ijg1YWY2OGQ0LWU0MzktNDBhYy05Mzg4LTZjZWMwNzRhYTMwYiJ9.rxliLv_6jRbJNPLpJ41dEarW90sMwF1TS3Q6rfxPcDMd-IpDY7eUaWj6DF8mmAJY9W0PyNa8jno6upFyXxldnA'}
2024-07-05 15:00:21.571 | INFO     | common.assert_api:assert_api:113 - [True]
2024-07-05 15:00:21.573 | INFO     | conftest:start_end:30 - ===============================================================================================华丽的分割线【结束】===============================================================================================
2024-07-05 15:00:21.578 | INFO     | conftest:start_end:28 - ===============================================================================================华丽的分割线【开始】===============================================================================================
2024-07-05 15:00:21.579 | INFO     | common.condition:skip_if:25 - 
2024-07-05 15:00:21.582 | INFO     | common.api_request:api_request:130 - 接口地址：http://portal-test.haierschool.cn/v/getInfo
